"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"242","Eliel Nsoseme","Cincinnati","Amer","33","25.5","91.4","10.4","39.5","40.41","10.8","25.2","1.9","18.3","13","32","0.406","15","38","0.395","0","0","0","6.6","1.5","84.2","So","6-9","22","-0.238416","81.0947","4.3","2019","51040","all","Georgia St.","0.363636363636364","10","24","5","14","0.416666666666667","0.357142857142857","0","0","0","0","0","87.7914","1.56108","0","1.2218","-3.10402","4.32582","-0.181325","10.8788","-2.65852","2.47719","1","2.2424","3.2424","0.1212","0.2727","0.5455","1.303","","0"
"243","Aaron Cook","Southern Illinois","MVC","5","13.2","105.3","26.3","59.8","60.2","0.8","7.5","27.2","17.4","13","22","0.591","29","48","0.604","3","8","0.375","0.7","6.8","39.3","Sr","6-2","10","3.15922","113.098","2.7","2020","49449","all","Gonzaga","1.42857755110787","24","30","5","18","0.8","0.277777777777778","3","3","1","0","0","88.2166","4.45299","0","5.94551","2.5552","3.3903","9.39591","31.1667","3.12424","6.27167","0.3333","2.6667","3","3.3333","3.1667","0.1667","15","","3.03118"
"244","Chance Moore","Wichita St.","Amer","4","1.3","64.2","18.5","25","30.3","15.9","0","0","31.3","1","2","0.5","1","3","0.333","0","1","0","0","0","50","Fr","6-6","22","-0.43283","62.5114","4","2019","66154","all","Washington St.","0","0","2","1","1","0","1","0","0","0","0","0","107.964","0.372927","0","-10.2114","-6.68958","-3.52184","-11.3103","5","-6.88826","-4.42204","0.75","0","0.75","0","0","0","0.75","","2.99701"
"245","Colin Castleton","Michigan","B10","25","15.8","113.4","20.8","54","61.15","10.7","23.3","7.4","18.3","24","29","0.828","27","46","0.587","0","4","0","6.1","0.9","58","So","6-11","11","0.890042","118.213","3.8","2020","65492","all","Florida","0.615384615384615","19","26","8","20","0.730769230769231","0.4","3","3","1","0","0","86.9404","1.0939","0","4.5901","0.771289","3.81881","4.27968","7.92","0.931625","3.34805","0.72","1.68","2.4","0.32","0.12","0.52","3.12","","1.16976"
"246","Devonaire Doutrive","Arizona","P12","3","4","120.2","18.3","46.4","53.37","6.7","15.5","14.5","6.1","6","8","0.75","5","11","0.455","1","3","0.333","2.3","1.1","57.1","So","6-5","14","1.77913","115.501","1.6","2020","66617","all","Boise St.","4.000300030003","4","7","1","4","0.571428571428571","0.25","0","0","0","0","0","92.584","2.05032","0","4.78549","2.80066","1.98483","7.24657","17","3.7642","3.48237","1","2.3333","3.3333","1.3333","0.3333","0.3333","6.3333","","3.30656"
"247","James Jean-Marie","San Diego","WCC","31","64.8","91.1","17.7","48.7","51.35","7.1","16.9","6.8","22.5","41","63","0.651","74","161","0.46","14","34","0.412","3","0.6","32.3","Jr","6-7","23","0.382494","89.5949","3.6","2020","70792","all","Hawaii","0.450026666666667","45","70","29","91","0.642857142857143","0.318681318681319","14","15","0.933333333333333","0","0","99.7623","2.47976","0","-1.93996","-3.26317","1.32321","-1.94863","25.8438","-2.2586","0.309977","1.625","3.5938","5.2188","0.8438","0.25","0.75","7.4062","","2.3737"
"248","Ben Harvey","Eastern Illinois","OVC","31","53.3","98.3","24.8","52.2","55.3","4.4","16.1","10.4","21.1","53","71","0.746","82","164","0.5","33","88","0.375","0.5","1.4","28.2","Fr","6-5","23","1.0023","101.005","3.4","2019","66223","all","Southern Illinois","0.507923608289313","51","79","31","85","0.645569620253165","0.364705882352941","2","3","0.666666666666667","0","0","112.184","1.27811","0","-5.42433","-1.96919","-3.45514","-3.53048","21.7188","-0.758778","-2.7717","0.875","3.0312","3.9062","1","0.5312","0.0938","10.1875","","7.54688"
"249","Jax Levitch","UNC Asheville","BSth","19","18.9","80.5","8.9","24","26.86","6.3","20.1","5.7","8.6","5","14","0.357","3","6","0.5","2","19","0.105","3.9","1","56","Jr","6-7","21","-0.897979","62.8445","4.5","2020","47690","all","Evansville","2.99930020993702","3","4","0","2","0.75","0","0","0","0","0","0","108.44","0.754459","0","-4.51481","-4.00622","-0.508591","-5.22684","11.5238","-4.14791","-1.07893","0.8571","1.619","2.4762","0.4286","0.2381","0.381","1.0476","","4.87029"
"250","Dravon Mangum","Charlotte","CUSA","29","48.3","85.9","17.7","43.6","48.11","5.5","11.3","4.9","21.5","38","60","0.633","27","58","0.466","16","59","0.271","3.4","1.1","51.3","Fr","6-9","20","-0.24345","83.8251","4.1","2019","66175","all","Radford","0.342861877537493","24","36","3","22","0.666666666666667","0.136363636363636","5","5","1","0","0","108.036","1.43547","0","-5.39352","-3.90153","-1.49198","-4.70665","19.3103","-3.65462","-1.05203","0.8276","1.7586","2.5862","0.4138","0.3448","0.5172","4.8276","","6.39584"
"251","Warren Washington","Oregon St.","P12","27","16.7","106.6","10.9","53.6","53.41","8.9","12.5","5.1","18.3","6","12","0.5","15","27","0.556","0","1","0","4.3","0","42.9","Fr","6-11","22","0.202465","95.0658","10.3","2019","65936","all","Nevada","0.856922483609719","14","23","1","4","0.608695652173913","0.25","6","6","1","0","0","105.282","0.643423","0","-2.3659","-1.54733","-0.81857","-6.16972","7.7407","-6.02505","-0.144666","0.5556","0.8519","1.4074","0.2222","0","0.2963","1.3333","","0.283974"
"252","Jaylen Fisher","TCU","B12","9","14.5","128.9","20.5","58.8","60.72","2.2","9.3","22.2","7.8","9","10","0.9","5","17","0.294","30","68","0.441","1","2.4","11.8","Jr","6-2","10","3.54351","129.812","4.2","2019","46594","all","Grand Canyon","3.99985000749963","3","5","2","12","0.6","0.166666666666667","0","0","0","0","0","99.6324","2.4954","0","7.93183","7.73959","0.192242","7.66194","24.1111","5.46575","2.19619","0.4444","2","2.4444","2.6667","1","0.2222","12.1111","","18.0301"
"253","Justyn Mutts","Delaware","CAA","32","79.9","104","21.9","53.3","56.57","7.8","22.3","13.8","20.7","70","95","0.737","151","272","0.555","2","17","0.118","3.7","2.4","32.9","So","6-7","25","2.0386","103.718","4.2","2020","50689","all","Virginia Tech","0.890252736638764","107","170","44","102","0.629411764705882","0.431372549019608","20","22","0.909090909090909","0","0","99.0866","3.13432","0","2.67794","0.150315","2.52762","1.34186","31.7879","0.0526062","1.28925","2","6.3636","8.3636","2.2121","1.2727","1.0303","12.1515","","0.962113"
"254","Lafayette Dorsey","Pacific","WCC","30","53.1","99.3","28.6","48.7","54.38","3","14.5","13","18.4","76","89","0.854","77","161","0.478","34","102","0.333","0.7","1.3","33.8","So","6-1","1","1.65287","109.867","3.9","2019","50766","all","Nicholls St.","0.561419267909275","48","80","29","81","0.6","0.358024691358025","0","0","0","0","0","104.979","1.80555","0","-1.75939","-0.395339","-1.36405","0.220865","21","1.23087","-1.01","0.5","2.2812","2.7812","1","0.4688","0.0938","10.6875","","9.58512"
"255","Devin Gage","DePaul","BE","12","15.6","93.3","16.7","53.7","56.66","0.5","6.3","18.9","30.7","10","14","0.714","13","28","0.464","6","13","0.462","1.8","4.3","34.1","Jr","6-2","3","0.287951","90.5009","3.5","2020","49193","all","Fresno St.","1.11113333333333","9","20","4","8","0.45","0.5","1","1","1","0","0","94.3902","1.83886","0","0.367933","-1.37766","1.7456","1.8964","16.25","-1.42444","3.32084","0.0833","0.9167","1","1.6667","1.25","0.25","4.5","","3.70691"
"256","Jervay Green","Nebraska","B10","28","52.7","86.2","20.9","46.8","47.35","2.9","14.8","15.8","20.2","24","48","0.5","56","110","0.509","31","109","0.284","0.7","2","21.9","Jr","6-3","23","0.613038","92.6594","3.1","2020","72073","all","Pacific","1.01885995034075","54","98","2","12","0.551020408163265","0.166666666666667","5","5","1","0","0","99.3228","2.347","0","-0.21006","-0.906035","0.695974","-0.676464","24.5714","-1.07606","0.399598","0.7143","3.5","4.2143","1.9286","0.8929","0.1786","8.1786","","8.67886"
"257","Brandon Averette","Utah Valley","WAC","27","80.6","99.3","21.1","49.3","53.06","0.8","6.4","19.9","17.5","56","69","0.812","89","178","0.5","33","103","0.32","0.6","1.7","24.6","Jr","5-11","11","1.42537","98.0899","2.2","2020","46598","all","BYU","1.36922508884479","56","97","33","81","0.577319587628866","0.407407407407407","0","0","0","0","0","107.687","2.19742","0","-2.60921","-0.424443","-2.18477","-1.88368","32.2","-0.745828","-1.13786","0.2","1.9","2.1","2.9667","0.9","0.2333","12.8333","","6.66711"
"258","Makai Ashton-Langford","Providence","BE","32","39.6","79.5","18","40.9","43.14","0.2","10.2","25.4","31.5","15","23","0.652","28","75","0.373","16","52","0.308","1.7","2.1","18.1","So","6-3","1","-0.458269","79.6101","4.2","2019","50594","all","Boston College","1.35182222222222","17","42","11","33","0.404761904761905","0.333333333333333","1","1","1","0","0","97.3424","1.87531","0","-3.7475","-4.50233","0.754831","-3.22706","17.1562","-4.61756","1.3905","0.0312","1.4688","1.5","2.2812","0.625","0.25","3.7188","","5.47741"
"259","Mustafa Lawrence","Fresno St.","MWC","17","28.9","90.5","23","44","46.58","2","5.4","29.7","26.5","14","20","0.7","17","40","0.425","18","60","0.3","0.7","2.3","20","Jr","6-1","12","0.571688","93.7713","3.2","2020","51448","all","Norfolk St.","1.55879083064217","13","19","4","21","0.684210526315789","0.19047619047619","0","0","0","0","0","104.993","1.51548","0","-3.87248","-1.2318","-2.64068","-2.10421","20.1667","-1.11847","-0.985737","0.3333","1.0556","1.3889","2.9444","0.7778","0.1111","6.3889","","10.7461"
"260","Kelvin Robinson","Eastern Kentucky","OVC","28","56.9","92","19.7","43.3","46.19","4.8","13.8","22.2","21.4","41","68","0.603","74","161","0.46","7","34","0.206","0.3","2.6","34.9","Jr","6-2","4","0.247848","90.4918","4.5","2019","49471","all","Jackson St.","1.68970154657839","51","94","23","67","0.542553191489362","0.343283582089552","3","3","1","0","0","106.127","1.90628","0","-2.45666","-2.318","-0.138667","-3.04285","23.7333","-2.90201","-0.140843","1.1333","2.9333","4.0667","3.2667","1.2333","0.0667","7.6667","","2.55576"
"261","Ikenna Ndugba","Bryant","NEC","30","58.9","91.7","18","45.3","48.49","2.6","16.5","20.9","25.2","36","53","0.679","57","121","0.471","16","58","0.276","0","3","29.6","Jr","6-0","0","0.0836115","86.3313","4.3","2020","48285","all","Elon","1.38331180573495","32","61","25","60","0.524590163934426","0.416666666666667","0","1","0","0","0","100.07","2.30253","0","-1.76406","-2.37567","0.611615","-2.49638","24.6129","-3.89502","1.39863","0.6774","4.0323","4.7097","2.6774","1.3226","0","6.7097","","4.46554"
"262","Yuat Alok","TCU","B12","10","8.7","73.5","18","43.3","48.14","3.6","18","2.7","34.2","7","9","0.778","13","30","0.433","0","0","0","2.4","0","30","Jr","6-11","35","-0.753745","70.8768","8.9","2019","65618","all","UCF","0.142857142857143","9","15","4","15","0.6","0.266666666666667","0","0","0","0","0","99.9722","1.34035","0","-7.90063","-7.96271","0.0620863","-9.80194","13.1","-10.3678","0.565912","0.4","2.1","2.5","0.2","0","0.3","3.3","","0"
"263","Amauri Hardy","UNLV","MWC","32","84.1","103.6","23.3","48.7","51.58","1.6","9.4","20.6","17.5","76","109","0.697","100","210","0.476","63","189","0.333","0.6","1.2","27.3","Jr","6-2","3","2.9056","110.231","2.7","2020","51674","all","Oregon","1.40791578947368","71","127","29","83","0.559055118110236","0.349397590361446","4","4","1","0","0","103.104","2.82945","0","0.861119","2.17649","-1.31538","1.79045","34.5625","2.38247","-0.592017","0.5","2.7812","3.2812","3.3438","0.7188","0.1562","14.5312","","10.1237"
"264","Victor Enoh","Memphis","Amer","11","4.7","87.3","9.5","50","45.71","11.3","6.4","0","24.6","4","10","0.4","2","4","0.5","0","0","0","1.6","0.8","250","So","6-7","12","-0.283177","73.9571","5.3","2019","50699","all","Marist","0","1","2","1","2","0.5","0.5","1","1","1","0","0","104.509","0.523292","0","-4.1425","-2.73607","-1.40643","-3.80772","6.1818","-3.29893","-0.508786","0.6364","0.3636","1","0","0.0909","0.0909","0.7273","","0"
"265","Zach Chappell","San Jose St.","MWC","30","48.5","83.7","20.6","39.5","45.4","1.4","7.3","21.6","23.8","48","67","0.716","34","98","0.347","20","64","0.313","0.3","2.4","41.4","So","6-3","4","0.00915442","85.4771","3.2","2020","65730","all","Sacramento St.","1.16979587062058","20","49","14","49","0.408163265306122","0.285714285714286","0","0","0","0","0","108.374","1.2759","0","-5.73998","-3.35148","-2.3885","-5.63738","19.5806","-3.9023","-1.73508","0.2581","1.2903","1.5484","2","0.871","0.0645","6.129","","5.93211"
"266","Michael Flowers","Western Michigan","MAC","30","81","104.1","27.8","50.1","56.14","1.5","8.4","22.8","17.8","125","148","0.845","96","207","0.464","64","176","0.364","0","1.2","38.6","Jr","6-1","12","3.25376","114.286","2.6","2020","52110","all","South Alabama","1.16856033366892","44","72","53","136","0.611111111111111","0.389705882352941","0","0","0","0","0","108.755","2.08925","0","0.0133698","2.7117","-2.69833","1.23505","32.1875","3.04073","-1.80568","0.4062","2.5312","2.9375","3.25","0.7188","0","16.9375","","10.4067"
"267","Shandon Goldman","Northern Iowa","MVC","18","19.1","89.4","19.4","44","46.43","6.9","19.2","9.5","19.5","13","23","0.565","12","30","0.4","9","28","0.321","3","0.3","39.7","Jr","6-10","20","0.151297","90.6748","5.4","2019","46582","all","Tennessee Tech","0.705882352941177","8","16","4","14","0.5","0.285714285714286","2","4","0.5","0","0","102.615","1.26265","0","-2.70373","-3.05739","0.353654","-3.35932","13.75","-3.44983","0.0905107","0.85","2.3","3.15","0.6","0.1","0.45","3.45","","7.06588"
"268","Ithiel Horton","Delaware","CAA","31","79.9","107.5","20.9","54.7","56.84","1.8","9.6","10","13.4","48","62","0.774","68","148","0.459","76","185","0.411","0.3","1.8","18.6","Fr","6-3","12","1.93084","104.864","2.7","2019","65770","all","Pittsburgh","1.10644572391518","41","70","27","78","0.585714285714286","0.346153846153846","3","3","1","0","0","113.45","1.77222","0","-1.60965","1.41812","-3.02777","-1.00039","32.5758","0.971238","-1.97163","0.4242","2.697","3.1212","1.5758","1","0.1212","13.2121","","11.1885"
"269","Landers Nolley II","Virginia Tech","ACC","32","73.8","89.8","33","44.4","48.17","3","19.2","18.8","16.6","85","109","0.78","103","247","0.417","68","215","0.316","1.3","1.5","23.6","Fr","6-7","2","2.22156","107.024","2.6","2020","65714","all","Memphis","0.885022804178314","41","78","62","169","0.525641025641026","0.366863905325444","4","4","1","0","0","94.8436","3.32961","0","-0.303188","-0.498152","0.194964","0.790567","30.2188","0.848179","-0.0576119","0.7812","5.0312","5.8125","2.4062","0.75","0.3125","15.4688","","13.5347"
"270","Lorenzo Edwards","Saint Joseph's","A10","32","57.7","89.5","18.4","41.5","43.19","5.2","19","8","13.1","27","46","0.587","37","75","0.493","40","159","0.252","3.7","1.4","19.7","Jr","6-8","21","0.394196","90.266","4.9","2020","45305","all","College of Charleston","0.9062","27","50","10","25","0.54","0.4","4","8","0.5","0","0","105.48","1.74972","0","-1.58567","-1.06107","-0.524601","-2.571","23.1562","-1.84745","-0.723556","1.1875","3.8438","5.0312","0.9062","0.5938","0.875","6.9062","","12.0038"
"271","Cameron Tyson","Idaho","BSky","29","63.4","105.1","24.4","55","57.42","2","6.9","6.8","14","38","43","0.884","31","83","0.373","92","224","0.411","0.3","0.9","14","Fr","6-3","5","1.64118","106.098","2.8","2019","66125","all","Houston","0.51062091503268","17","29","14","54","0.586206896551724","0.259259259259259","0","0","0","0","0","122.957","0.572376","0","-4.69208","1.36574","-6.05783","-1.4628","25.4062","3.04291","-4.50571","0.375","1.5625","1.9375","0.75","0.4688","0.0938","13.5","","18.1341"
"272","Darius Hicks","Eastern Kentucky","OVC","18","33.3","80.1","17.1","39.1","42.16","7.7","17.3","4","20.9","31","64","0.484","34","86","0.395","0","1","0","3","1.3","73.6","Jr","6-8","5","-0.758492","75.8143","4.9","2020","46265","all","Jackson St.","0.387096774193548","25","42","9","44","0.595238095238095","0.204545454545455","9","11","0.818181818181818","0","0","103.366","1.90883","0","-5.44044","-5.74195","0.301516","-5.45459","23","-4.91061","-0.543987","1.8","3.65","5.45","0.6","0.5","0.6","5.75","","0.127617"
"273","Pauly Paulicap","Manhattan","MAAC","31","50.6","95.5","28.9","49.4","50.25","13.8","23.6","2.7","14.4","73","144","0.507","124","251","0.494","0","0","0","10.7","1.2","57.4","Sr","6-8","33","1.26707","103.368","6","2020","50191","all","DePaul","0.136325207834296","92","172","32","79","0.534883720930233","0.40506329113924","14","18","0.777777777777778","0","0","93.8407","2.35469","0","-3.06891","-4.34838","1.27947","0.468352","20.4194","-0.0908874","0.559239","2.5806","4.0323","6.6129","0.1935","0.4194","1.8387","10.3548","","0"
"274","Trey McGowens","Pittsburgh","ACC","33","83.2","91.6","23","42.8","47.76","1.5","10","23.4","22.5","91","126","0.722","83","206","0.403","41","132","0.311","0.2","3.5","37.3","So","6-4","2","1.61663","99.3451","2.8","2020","66273","all","Nebraska","1.25532736527997","53","107","30","99","0.495327102803738","0.303030303030303","12","16","0.75","0","0","95.885","3.63128","0","1.12983","0.254396","0.875436","0.602964","33.3939","-0.983667","1.58663","0.4545","2.8182","3.2727","3.5758","1.9091","0.0606","11.5152","","7.24416"
"275","Connor Vanover","California","P12","28","39.4","105.8","20.5","54.5","55.47","5","16.6","2.4","10.5","16","24","0.667","56","101","0.554","27","76","0.355","8.9","0.8","13.6","Fr","7-3","23","1.3407","109.635","3.1","2019","65651","all","Arkansas","0.277803701975424","31","41","25","60","0.75609756097561","0.416666666666667","20","20","1","0","0","107.637","1.3192","0","-0.22286","-0.504086","0.281226","1.48416","17.5","2.10213","-0.617974","0.75","2.2143","2.9643","0.1786","0.25","1.25","7.4643","","9.07653"
"276","Parker Edwards","Southeastern Louisiana","Slnd","25","11.1","118.6","24.6","55.6","58.62","0.9","6.3","9.4","7","15","20","0.75","5","8","0.625","20","55","0.364","0","1.3","31.7","Fr","6-3","3","0.654109","121.608","4.9","2019","65998","all","LSU","1.16696669666967","2","2","3","6","1","0.5","0","0","0","0","0","109.322","0.385697","0","-1.12868","4.39947","-5.52815","5.69724","6.1111","6.07417","-0.376928","0.037","0.3704","0.4074","0.2593","0.2222","0.0741","3.6667","","23.785"
"277","Courtese Cooper","LSU","SEC","12","4.9","128.3","9.1","85.7","85.71","13.4","20.6","0","30.5","0","0","0","6","7","0.857","0","0","0","9","0","0","So","6-9","21","0.436135","110.324","6.6","2020","67873","all","Southern Utah","0","5","5","1","2","1","0.5","2","2","1","0","0","98.1718","0.509217","0","0.920376","0.844746","0.0756292","2.30833","5.0833","0.621043","1.68728","0.5833","1","1.5833","0","0","0.4167","1","","0"
"278","Khalid Thomas","Arizona St.","P12","23","16","130.8","11.4","65.9","64.9","4.2","13.8","4.5","7.2","6","11","0.545","9","15","0.6","12","26","0.462","1.1","3.3","26.8","Jr","6-9","20","1.00415","118.787","2.6","2020","72048","all","Portland St.","1.66717791411043","6","8","3","7","0.75","0.428571428571429","0","0","0","0","0","91.2115","1.08472","0","6.16633","3.54094","2.62539","7.61905","8.6522","4.00256","3.6165","0.3478","1.087","1.4348","0.2174","0.5217","0.087","2.6087","","7.07279"
"279","Sean Miller-Moore","Oregon St.","P12","29","20.6","108","18","67.9","65.18","15.6","10.6","7.4","26","7","16","0.438","36","53","0.679","0","0","0","0.4","1.2","30.2","Jr","6-5","1","0.70482","108.351","3.6","2020","71464","all","Grand Canyon","0.449905756125852","35","48","1","5","0.729166666666667","0.2","7","7","1","0","0","103.6","0.727241","0","-0.447346","1.61181","-2.05915","-0.593449","8.8276","1.41911","-2.01256","1.1034","0.7931","1.8966","0.3103","0.1724","0.0345","2.7241","","0"
"280","Damari Milstead","Grand Canyon","WAC","33","69.1","103.1","22.5","46.3","51.52","2.1","8.7","23.6","17.8","85","113","0.752","88","199","0.442","30","88","0.341","0.5","2.8","39.4","So","6-2","11","1.75476","105.755","2.2","2019","51548","all","San Francisco","1.84844426128168","52","100","36","97","0.52","0.371134020618557","0","0","0","0","0","101.863","2.68421","0","1.31689","1.08089","0.236005","1.58435","27.9412","0.649983","0.934368","0.5294","2.0588","2.5882","3.5882","1.3529","0.1176","10.3235","","5.56209"
"281","Anthony Duruji","Louisiana Tech","CUSA","31","75.9","105.2","20.3","52.2","55.21","5.4","18.2","6.4","15.5","74","108","0.685","95","176","0.54","38","115","0.33","4.8","1.8","37.1","So","6-7","10","1.96109","106.065","3.4","2019","51001","all","Florida","0.563628727425451","69","95","26","81","0.726315789473684","0.320987654320988","24","26","0.923076923076923","0","0","98.4333","3.27002","0","1.99424","-0.207638","2.20188","2.11108","29.9394","0.75971","1.35137","1.4545","4.697","6.1515","0.9394","0.9394","1.2121","12.2121","","7.08747"
"282","Jaylen Sebree","Florida Atlantic","CUSA","29","26.5","86.8","17.4","40.4","41.45","3.5","16.4","5.6","12.8","6","10","0.6","16","36","0.444","16","63","0.254","1.1","2.4","10.1","So","6-7","3","-0.0714387","83.3965","2.2","2020","66171","all","Morehead St.","0.799914675767918","12","22","4","14","0.545454545454545","0.285714285714286","1","1","1","0","0","98.5822","1.05653","0","-2.56821","-2.48222","-0.0859896","-1.15158","11.4375","-1.68391","0.532333","0.4375","1.6562","2.0938","0.375","0.4062","0.125","3.5625","","11.6896"
"283","Rey Idowu","Illinois St.","MVC","29","37.3","95.4","17.2","51.6","53.07","8","16","8.3","22.8","22","38","0.579","49","95","0.516","0","0","0","1","0.9","40","So","6-9","13","0.386443","92.5489","4.9","2020","65683","all","Tulsa","0.645214361753605","35","54","14","41","0.648148148148148","0.341463414634146","2","3","0.666666666666667","0","0","102.931","1.30874","0","-2.52396","-2.56758","0.0436203","-3.43459","15.6667","-3.25678","-0.177805","1.1","2.1333","3.2333","0.6667","0.2333","0.1667","4.4","","0"
"284","Antwann Jones","Memphis","Amer","35","40.2","98.2","16.7","48.1","53.79","3.4","16.1","18.2","27.7","38","45","0.844","41","88","0.466","15","44","0.341","2.6","2.1","34.1","Fr","6-6","11","0.571132","97.41","4","2019","65925","all","Creighton","1.25495847917096","29","48","12","40","0.604166666666667","0.3","1","1","1","0","0","94.615","1.99967","0","2.02405","-0.97402","2.99806","2.05323","16.6571","-0.527998","2.58123","0.5143","2.4571","2.9714","1.8286","0.6571","0.4","4.7143","","3.9966"
"285","Brycen Goodine","Syracuse","ACC","23","15.6","76.9","18.9","33","38.83","3.4","9.7","14.3","26.1","11","14","0.786","12","26","0.462","3","24","0.125","1.3","3.2","28","Fr","6-3","0","-0.203973","78.5782","3.4","2020","71735","all","Providence","0.941279935056149","6","9","6","18","0.666666666666667","0.333333333333333","0","0","0","0","0","97.629","0.896141","0","-2.4587","-2.85193","0.39324","-3.37697","8.7391","-4.34194","0.964978","0.2609","0.7826","1.0435","0.6957","0.4783","0.087","1.913","","6.95384"
"286","Justice Sueing","California","P12","31","85.9","108.2","22.3","48.6","55.17","5","17.1","12.1","13","129","165","0.782","105","208","0.505","35","116","0.302","1.8","2.8","50.9","So","6-7","10","3.18236","114.136","2.9","2019","50231","all","Ohio St.","1.13206995379306","79","123","26","85","0.642276422764228","0.305882352941176","11","13","0.846153846153846","0","0","107.033","2.67512","0","3.12456","2.7128","0.411765","2.99604","34.5161","2.93248","0.0635609","1.4839","4.5161","6","1.9355","1.6774","0.4839","14.3226","","6.35429"
"287","James Akinjo","Georgetown","BE","7","16.7","96.9","26.5","38.2","45.11","2.1","8.6","28.1","15.8","26","32","0.813","22","56","0.393","8","33","0.242","0","3.7","36","So","6-1","3","2.47331","108.656","2.2","2020","66172","all","Arizona","1.93752460952881","14","29","8","27","0.482758620689655","0.296296296296296","1","1","1","0","0","100.363","2.86193","0","1.62573","2.31179","-0.686051","2.31088","30.5714","1.47438","0.836501","0.5714","2.4286","3","4.4286","2","0","13.4286","","8.63598"
"288","Jordan Brown","Nevada","MWC","33","24.4","95.1","17.9","50.6","53.08","5.5","17.6","8.1","22.6","20","32","0.625","40","78","0.513","0","1","0","5.2","1.7","40.5","Fr","6-11","21","0.201937","93.2428","4.2","2019","66423","all","Arizona","0.624914065722535","18","25","22","53","0.72","0.415094339622642","3","3","1","0","0","91.0765","1.33992","0","0.0288977","-3.54966","3.57856","0.152895","10.0606","-2.51493","2.66783","0.4848","1.6364","2.1212","0.4545","0.303","0.4545","3.0303","","0.168945"
"289","Emmanuel Akot","Arizona","P12","17","25.5","87.2","13.8","43.9","43.76","3.1","14.3","10.2","19.4","6","15","0.4","20","45","0.444","6","21","0.286","0.7","0.7","22.7","So","6-7","24","-0.437025","80.9027","2.6","2019","50224","all","Boise St.","1.19990933816863","13","16","7","29","0.8125","0.241379310344828","2","2","1","0","0","98.5447","2.06084","0","-1.45702","-2.87142","1.4144","-1.07856","19.3529","-2.38027","1.30171","0.5294","2.2941","2.8235","1.0588","0.2353","0.1176","3.7647","","3.74062"
"290","Ledarrius Brewer","Southeast Missouri St.","OVC","27","64.9","86.9","27.4","43.8","47.29","2.9","15.1","15.2","20.9","57","78","0.731","73","166","0.44","43","148","0.291","1.4","2.4","24.8","So","6-5","25","0.491853","92.5272","3.3","2019","51100","all","East Tennessee St.","0.686733517347402","44","80","29","86","0.55","0.337209302325581","10","12","0.833333333333333","0","0","107.074","2.17207","0","-3.4055","-2.40748","-0.998018","-2.83565","28.3103","-1.70982","-1.12582","0.6897","4","4.6897","1.9655","1.1724","0.3448","12.4828","","10.9729"
"291","Karl Nicholas","Stephen F. Austin","Slnd","9","16.1","81.2","28.7","40.9","42.51","12.1","16.7","10.9","22.5","11","22","0.5","27","66","0.409","0","0","0","8.4","1.7","33.3","So","6-8",NA,"0.0910605","88.8752","7.1","2019","50337","all","Texas Southern","0.4166395840104","23","51","4","15","0.450980392156863","0.266666666666667","4","6","0.666666666666667","0","0","99.1227","1.94956","0","-5.88172","-7.24245","1.36073","-5.80823","17.9231","-5.94178","0.133555","1.8462","2.3846","4.2308","0.7692","0.5385","1.3077","7.7692","","0"
"292","Grayson Carter","Georgetown","BE","14","4.9","64.5","21.3","36.1","35.97","8.4","14.5","5.2","31.2","2","6","0.333","2","9","0.222","3","9","0.333","3.3","1.7","33.3","Fr","6-8","35","-0.325046","66.5238","9.1","2019","66526","all","UT Arlington","0.250087504375219","2","3","0","6","0.666666666666667","0","0","0","0","0","0","100.452","0.468481","0","-6.5762","-6.9739","0.397691","-8.86566","4.7143","-8.19488","-0.670781","0.3571","0.6429","1","0.1429","0.1429","0.1429","1.0714","","7.64251"
"293","Jonathan Tchamwa Tchatchoua","UNLV","MWC","31","33","103.5","16.2","47.5","52.53","14.9","13.9","2.7","21.7","30","44","0.682","38","77","0.494","0","3","0","5.3","1","55","Fr","6-8","30","0.488014","98.1256","6.6","2019","66025","all","Baylor","0.239925604463732","26","49","12","29","0.530612244897959","0.413793103448276","13","15","0.866666666666667","0","0","103.851","1.17148","0","-0.785946","-1.5692","0.783251","-3.20132","13.2903","-3.05391","-0.147409","1.8387","1.6129","3.4516","0.1935","0.2258","0.6774","3.4194","","0.42158"
"294","Dwight Murray Jr.","Incarnate Word","Slnd","28","62.5","91.9","22.2","44.9","49.99","2.1","13.4","21","22.5","50","57","0.877","69","141","0.489","21","83","0.253","0.5","1.6","25.4","So","6-0","0","0.528092","91.4328","2","2020","66569","all","Rider","1.12123062470643","40","65","29","76","0.615384615384615","0.381578947368421","0","1","0","0","0","113.3","1.21724","0","-5.26148","-2.30669","-2.95479","-4.46214","25.5484","-1.62442","-2.83772","0.4194","2.8065","3.2258","2.3871","0.7097","0.0968","9.6129","","6.79096"
