"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"452","Vin Baker Jr.","Boston College","ACC","12","6.4","80.4","15.2","31.6","38.28","2.7","13.2","9","18.9","4","4","1","3","6","0.5","2","13","0.154","1.4","2.9","21.1","So","6-7","11","-0.250225","76.6639","3.5","2019","50575","all","Milwaukee","1","3","4","0","2","0.75","0","1","1","1","0","0","99.6602","0.69075","0","-2.09526","-2.86795","0.77269","-4.6953","6.75","-5.22118","0.525881","0.1667","0.8333","1","0.3333","0.3333","0.0833","1.3333","","9.37099"
"453","Franco Miller Jr.","Mississippi","SEC","19","10.6","37.2","11.6","13.9","15.83","2.6","12.9","7.5","40.2","1","2","0.5","1","4","0.25","1","14","0.071","0","0.4","11.1","Fr","6-3","11","-1.3358","31.9529","3.8","2020","66012","all","Florida Gulf Coast","0.545517360511315","0","0","1","4","0","0.25","0","0","0","0","0","101.879","0.637086","0","-8.33886","-7.80981","-0.529056","-9.76114","7.2105","-8.25546","-1.50568","0.1579","0.7895","0.9474","0.3158","0.0526","0","0.3158","","5.93405"
"454","Jermaine Miranda","Hofstra","CAA","7","2.5","83.5","29.3","57.7","57.69","10.7","24.9","7","36.4","0","0","0","6","11","0.545","1","2","0.5","0","5.3","0","Fr","6-4","3","0.045869","88.145","6.1","2020","71058","all","Cal Baptist","0.166666666666667","5","9","1","2","0.555555555555556","0.5","0","0","0","0","0","91.6893","0.583212","0","-4.48585","-5.88141","1.39556","1.25429","5.625","-1.34754","2.60183","0.75","1.375","2.125","0.125","0.75","0","2.625","","3.55241"
"455","Preston Parks","Tennessee Martin","OVC","27","71.5","93","22.3","42.7","47.79","1.9","12.7","18.7","22.6","61","73","0.836","50","152","0.329","45","123","0.366","0.1","1.9","26.5","Jr","6-2","0","0.607413","93.1641","2.5","2019","46136","all","Samford","1.25641669957282","32","80","18","72","0.4","0.25","0","0","0","0","0","116.874","1.33972","0","-4.51381","-1.42413","-3.08968","-5.00261","30.8214","-2.11894","-2.88367","0.5357","3.3571","3.8929","3.5","1.1071","0.0357","10.8571","","8.34933"
"456","Thomas Allen","Nebraska","B10","28","60.6","108.1","14.9","51.6","53.8","1.3","9.2","12.8","13.6","23","27","0.852","59","117","0.504","34","96","0.354","0.7","2.6","12.7","So","6-1","12","2.09416","107.315","1.4","2019","50172","all","North Carolina St.","2.0345","34","54","25","63","0.62962962962963","0.396825396825397","0","0","0","0","0","97.9132","3.32685","0","3.17878","2.04004","1.13874","3.58424","30.2069","1.40871","2.17553","0.3448","2.4483","2.7931","2.0345","1.3103","0.2069","8.7241","","6.68714"
"457","Anthony Roberts","Kent St.","MAC","28","68","104.9","22.1","50.2","52.74","2","9.5","16.2","15.4","47","63","0.746","86","176","0.489","43","124","0.347","0.5","1.7","21","So","6-4","15","2.20879","107.224","2.9","2020","66302","all","St. Bonaventure","1.39217647058824","54","95","32","81","0.568421052631579","0.395061728395062","2","4","0.5","0","0","103.43","2.41345","0","-0.572986","1.01066","-1.58365","0.324509","29","0.907715","-0.583206","0.5","2.4333","2.9333","2.3667","0.9","0.1333","12.7","","8.60535"
"458","Tyler Harris","Memphis","Amer","31","51.3","97.3","20.4","49.6","53.07","1.3","7.4","8","18.7","40","47","0.851","27","71","0.38","59","162","0.364","0.2","1.2","20.2","So","5-9","1","1.10911","100.923","2.8","2020","65923","all","Iowa St.","0.555593827500689","16","40","11","31","0.4","0.354838709677419","0","0","0","0","0","93.0246","2.44253","0","-0.48154","0.0583802","-0.539921","1.4377","20.6774","0.830632","0.607067","0.2258","1.5806","1.8065","0.8065","0.4516","0.0323","8.7419","","13.7884"
"459","Brandon Johnson","Western Michigan","MAC","30","77.8","102.3","26.4","48.1","53.1","7","22.2","7.6","13.5","118","162","0.728","143","300","0.477","20","60","0.333","3.5","0.9","45","Jr","6-8","35","2.71647","110.504","3.3","2020","45288","all","Minnesota","0.551724137931034","88","133","55","167","0.661654135338346","0.329341317365269","25","26","0.961538461538462","0","0","101.89","2.74758","0","-0.845364","-0.646053","-0.199312","1.34227","31","2.03731","-0.695038","1.875","6.1875","8.0625","1","0.4688","0.9688","15.375","","3.69365"
"460","Sarju Patel","VMI","SC","28","66.1","107.3","17.6","51.7","54.28","2.9","12.1","8.2","9.3","46","66","0.697","53","102","0.52","45","131","0.344","0","1.7","28.3","So","6-3","31","1.49114","103.163","2.3","2019","50697","all","Cornell","1.47824990543437","31","47","22","55","0.659574468085106","0.4","1","1","1","0","0","114.246","1.44436","0","-1.93906","0.843158","-2.78222","-1.72835","27.4138","0.288329","-2.01667","0.7586","2.8276","3.5862","1.1724","0.8966","0","10.2414","","9.33295"
"461","Tobias Howard","Towson","CAA","31","63.9","94.2","25.2","45.7","48.38","1.3","7.6","18.9","22.6","42","56","0.75","53","137","0.387","56","163","0.344","0.3","1.7","18.7","Jr","6-2","0","0.829891","96.8213","2","2019","44748","all","Indiana St.","1.06758918918919","13","30","40","107","0.433333333333333","0.373831775700935","0","0","0","0","0","113.054","1.45401","0","-4.35659","-1.04519","-3.3114","-3.53725","26.1562","-0.730504","-2.80675","0.3125","1.5938","1.9062","2.4688","0.6875","0.0625","10.2188","","12.5507"
