"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm","X","School","Conference","GP","Min.","ORTG","USG","EFG","OR.","DR.","AST.","TOV.","BLK.","STL.","FTR","Year","Height","DBPM"
"374","Radshad Davis","UT Arlington","SB",55.7,112.6,21,52.2,11.2,19,16.9,14,1.4,2.2,25.4,"Sr","2-Jun","FIU",1.6796,1811,"FIU","CUSA",13,43.7,108.4,20.3,52.6,7.5,18.3,8.7,13.4,1.5,2.1,19.4,"Sr","4-Jun",-1.06243
"375","Rapolas Ivanauskas","Colgate","Pat",73,94.4,27.4,46,6.9,22.4,14,17.4,2,1.3,23.6,"Sr","10-Jun","Cincinnati",-0.56181,12,"Cincinnati","Amer",7,16.3,79.1,17.3,52.6,2.9,24.2,2.7,32.4,0,1.9,15.8,"Sr","10-Jun",0.630531
"376","Ray Salnave","Monmouth","MAAC",70.2,101.7,27.7,47.2,2.8,15.7,24.7,19.2,0.7,2.9,46.7,"Jr","3-Jun","DePaul",0.992719,267,"DePaul","BE",19,57.8,82.3,18.5,37.5,2.6,11.2,10.5,22.8,0.3,2.3,21.1,"Sr","3-Jun",1.3845
"377","Reggie Chaney","Arkansas","SEC",32.5,110.3,15.8,67.1,10.7,15.9,8.9,24.2,4.1,2.5,52.1,"So","8-Jun","Houston",2.91421,1641,"Houston","Amer",31,34.9,128.8,15.6,65,11.8,10.4,5.6,17.2,6.4,2.3,68.8,"Jr","8-Jun",3.77255
"378","Rey Idowu","Illinois St.","MVC",37.3,95.4,17.2,51.6,8,16,8.3,22.8,1,0.9,40,"So","9-Jun","Tulsa",-0.177805,1112,"Tulsa","Amer",21,55.2,95.7,21,51.6,6.5,15,9.4,18.4,0.8,0.9,46.1,"Jr","9-Jun",0.0418074
"379","Rich Kelly","Quinnipiac","MAAC",85.8,109.8,25.8,53,1.1,7.1,30,18.9,0.4,1.4,29,"Jr","1-Jun","Boston College",-2.20485,417,"Boston College","ACC",16,50.4,104.7,22.4,54.5,1.1,6.8,19.5,19.1,0.3,2.1,18.8,"Sr","1-Jun",-0.836652
"380","Richard Harward","Utah Valley","WAC",30.1,130.2,21.1,65.2,13.9,25.2,7,9.5,4.7,0.6,70.5,"So","11-Jun","BYU",1.36531,802,"BYU","WCC",26,38.4,105.8,22.6,59.4,12.8,17.4,11.9,21.2,1.5,0.8,63.2,"Jr","11-Jun",1.62022
"381","Richardson Maitre","Florida Atlantic","CUSA",66.6,111.2,18.9,55.8,1.8,16.5,17.5,17.6,0.4,2.5,26.9,"Jr","3-Jun","Samford",1.53085,1848,"Samford","SC",13,48.9,79.6,17.3,37.6,1.2,13.7,18.3,27.3,0,2.2,21.2,"Sr","3-Jun",-0.536507
"382","Riley Till","Iowa","B10",7.4,79.2,12.3,33.3,7.3,9.4,6.8,19.9,5.9,1.8,91.7,"Jr","7-Jun","Cal Poly",0.827421,292,"Cal Poly","BW",19,43.6,80.6,13.1,44.2,7,12,4.8,31.5,3.4,1.3,51.9,"Sr","7-Jun",-0.449471
"383","Robert Allen","Samford","SC",80.7,92.8,23.4,46.1,6,16.8,8.7,18.7,4.3,1.4,31.9,"So","8-Jun","Mississippi",-2.04483,971,"Mississippi","SEC",28,40.2,103.3,15.1,47.8,11.7,11.6,9.2,24.2,3.2,2.1,73.9,"Jr","8-Jun",2.56054
