"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"74","Branden Johnson","Alabama St.","SWAC","29","41.3","101.4","12.7","62.7","55.64","8.1","14.5","1.4","17","18","54","0.333","47","75","0.627","0","0","0","3.8","0.7","72","So","6-8","24","0.102928","88.2325","3.6","2019","42735","all","Virginia Tech","0","0","0","0","0","0","0","0","0","0","0","0","112.289","0.925207","0","-4.73856","-3.14652","-1.59204","-3.875"
"75","John Knight III","Utah St.","MWC","10","12.9","90.2","26.9","41","46.37","4.1","20","12.9","18","23","36","0.639","26","65","0.4","1","2","0.5","3.3","3.9","53.7","So","6-2","3","0.70399","97.8982","3.8","2019","66218","all","Southern Utah","0","0","0","0","0","0","0","0","0","0","0","0","86.3995","2.58185","0","-1.12182","-4.38146","3.25964","3.367"
"76","Zane Martin","Towson","CAA","30","76.6","109.4","31.4","51.7","54.68","2.2","11.3","19.4","14.6","111","159","0.698","146","296","0.493","66","178","0.371","0.8","1.4","33.5","So","6-4","0","3.6639","121.899","2.7","2018","48815","all","New Mexico","0","0","0","0","0","0","0","0","0","0","0","0","107.327","2.35401","0","-0.606215","2.37652","-2.98273","3.232"
"77","Cian Sullivan","La Salle","A10","10","2.7","95.2","18","33.3","50.63","19.3","17.8","0","28.4","4","4","1","2","6","0.333","0","0","0","6.4","0","66.7","So","7-2","31","0.107491","95.5471","5.9","2019","45644","all","Hartford","0","0","0","0","0","0","0","0","0","0","0","0","106.432","0.259608","0","-9.78114","-6.507","-3.27414","-4.345"
"78","Omar Silverio","Rhode Island","A10","28","16.3","85.6","17.3","41.1","42.47","2.6","12.5","15.6","21.8","6","11","0.545","8","26","0.308","10","30","0.333","0.5","2.4","19.6","Fr","6-4","15","-0.0679153","83.8994","3.9","2019","66196","all","Hofstra","0","0","0","0","0","0","0","0","0","0","0","0","100.84","0.738842","0","-3.10362","-2.75195","-0.351666","-1.607"
"79","Tevin Mack","Alabama","SEC","34","51.2","97.9","23","50.4","51.04","4.8","13","8.7","17","28","50","0.56","67","132","0.508","48","144","0.333","2.3","0.9","18.1","Jr","6-6","34","1.45523","106.91","3.2","2019","52030","all","Clemson","0","0","0","0","0","0","0","0","0","0","0","0","97.9796","2.16478","0","1.41871","0.738053","0.680662","1.436"
"80","Marcus Sheffield","Stanford","P12","27","34.8","107","16.1","52.4","55.33","1.9","6.5","7","15.1","19","22","0.864","21","43","0.488","30","83","0.361","0.6","1.7","17.5","Jr","6-5","14","0.900142","102.612","3","2019","39158","all","Elon","0","0","0","0","0","0","0","0","0","0","0","0","101.374","1.50595","0","0.278719","0.594998","-0.316279","1.057"
"81","Cameron Satterwhite","Loyola Chicago","MVC","34","23","73.4","15.6","32.2","41.35","1.3","16.3","14","33.4","20","30","0.667","10","30","0.333","3","15","0.2","1","0.4","66.7","So","6-4","23","-0.580748","70.7688","2.9","2018","49679","all","Northern Arizona","0","0","0","0","0","0","0","0","0","0","0","0","97.8682","1.09932","0","-4.64269","-5.87543","1.23274","-4.656"
"82","Dominik Olejniczak","Mississippi","SEC","33","45.6","110.3","15.3","57.5","60.32","7.8","11.6","7","20.8","29","38","0.763","73","127","0.575","0","0","0","5.4","1.6","29.9","Jr","7-0","13","1.34294","107.661","5.5","2019","44628","all","Florida St.","0","0","0","0","0","0","0","0","0","0","0","0","96.945","1.9925","0","3.76845","0.490719","3.27773","1.012"
"83","Quade Green","Kentucky","SEC","9","10.7","105.1","25.8","56.1","62.04","2.4","6.3","25.3","30.3","17","19","0.895","11","23","0.478","11","26","0.423","0","3.3","38.8","So","6-0","0","1.65151","113.58","1.8","2019","50512","all","Washington","0","0","0","0","0","0","0","0","0","0","0","0","97.9441","1.85526","0","3.89108","2.9046","0.986475","4.162"
"84","Jordan Usher","USC","P12","12","21.6","98.6","19.9","50","53.19","3.9","12.8","12.2","19.6","19","27","0.704","30","56","0.536","8","28","0.286","1.1","0.8","32.1","So","6-7","1","1.19482","101.031","5","2019","51496","all","Georgia Tech","0","0","0","0","0","0","0","0","0","0","0","0","104.529","1.95715","0","-1.28632","-0.682929","-0.603391","-1.29"
"85","Cameron Corcoran","Little Rock","SB","29","41.6","107.6","18.8","55.9","59.2","0.7","3.5","9.4","17.1","35","45","0.778","18","44","0.409","42","101","0.416","0.3","1.1","31","Fr","6-1","3","1.08125","105.586","1.3","2018","51331","all","FIU","0","0","0","0","0","0","0","0","0","0","0","0","111.37","1.07862","0","-2.57252","0.472819","-3.04533","-0.599"
"86","Austin Reaves","Wichita St.","Amer","33","53.2","120.3","16.8","59.3","62.47","2.1","14","15.8","18.2","43","52","0.827","31","62","0.5","54","127","0.425","1.3","1.3","27.5","So","6-5","12","2.3149","118.786","3","2018","46787","all","Oklahoma","0","0","0","0","0","0","0","0","0","0","0","0","100.257","2.15747","0","4.92027","4.61645","0.303825","5.222"
"87","Kaden Archie","TCU","B12","10","6.7","68.2","16.7","26","33.68","3.5","13.4","0","17.1","8","13","0.615","5","14","0.357","1","11","0.091","2.1","5.7","52","Fr","6-6","0","-0.790651","63.8764","4.8","2019","65590","all","UTEP","0","0","0","0","0","0","0","0","0","0","0","0","90.5472","1.3279","0","-3.18286","-5.2965","2.11363","-1.624"
"88","Alex Barcello","Arizona","P12","30","22.2","106.4","17.4","47.6","52.67","0.8","10.1","10.5","11.7","19","21","0.905","19","36","0.528","14","48","0.292","0","2","25","So","6-2","23","0.623353","105.358","5.3","2019","50225","all","BYU","0","0","0","0","0","0","0","0","0","0","0","0","96.7561","1.04365","0","0.58254","0.377893","0.204647","0.975"
"89","Yanni Wetzell","Vanderbilt","SEC","32","46","97.6","18.2","52.9","57.57","7.8","15.6","4.1","25.2","45","59","0.763","59","103","0.573","9","34","0.265","3.4","2.1","43.1","Jr","6-10","1","0.832031","99.4698","5.1","2019","68125","all","San Diego St.","0","0","0","0","0","0","0","0","0","0","0","0","97.0743","2.00205","0","-0.102384","-2.11313","2.01074","-0.315"
"90","Jaycee Hillsman","San Jose St.","MWC","29","62.2","97.2","23.8","47.9","54.73","5.1","14.9","20.6","24.7","80","98","0.816","61","135","0.452","27","77","0.351","1.5","1.3","46.2","Jr","6-6","25","1.31641","102.698","4.1","2018","43818","all","Illinois St.","0","0","0","0","0","0","0","0","0","0","0","0","107.742","1.8753","0","-0.472154","-0.272572","-0.199581","-1.007"
"91","Donnell Gresham Jr.","Northeastern","CAA","34","82.7","116.6","16.2","52.5","57.96","2.2","15.9","16.7","14","80","98","0.816","43","94","0.457","55","145","0.379","0","2.1","41","Jr","6-1","22","2.4701","107.962","1.9","2019","43605","all","Georgia","0","0","0","0","0","0","0","0","0","0","0","0","103.393","2.87361","0","3.25989","2.34525","0.914638","2.598"
"92","Collin McManus","Penn","Ivy","8","1.4","209.8","7.6","100","100","11.9","11.7","19.2","0","0","0","0","2","2","1","0","0","0","5.4","0","0","Jr","6-10","44","0.692701","171.509","0","2018","38791","all","Fairleigh Dickinson","0","0","0","0","0","0","0","0","0","0","0","0","101.678","0.228922","0","9.09639","5.65756","3.43883","6.742"
"93","Michael Hueitt Jr.","Old Dominion","CUSA","13","6","133","15.8","61.4","61.36","7.2","32.5","16.9","9.8","0","0","0","0","3","0","9","19","0.474","0","0.8","0","Fr","6-3","11","0.73087","123.016","1","2018","52277","all","UNC Greensboro","0","0","0","0","0","0","0","0","0","0","0","0","93.4653","0.73972","0","4.35115","3.81324","0.537908","7.052"
"94","Chris Barnes","Tulsa","Amer","31","22.1","75.8","18","35.5","43.43","2.5","13.6","9.4","26.7","21","27","0.778","22","58","0.379","0","4","0","0.4","0.8","43.5","So","6-4","0","-0.337102","75.784","3.1","2019","44658","all","Eastern Michigan","0","0","0","0","0","0","0","0","0","0","0","0","100.899","0.871464","0","-6.5924","-6.47526","-0.117146","-5.526"
"95","Brad Calipari","Kentucky","SEC","12","1.9","45.8","13.8","21.4","21.43","0","7.4","5.6","29.3","0","0","0","0","0","0","1","7","0.143","0","0","0","So","6-0","12","-0.35932","43.0773","0","2018","47568","all","Detroit","0","0","0","0","0","0","0","0","0","0","0","0","105.483","0.194099","0","-7.03091","-5.21891","-1.812","-9.551"
"96","Shawn Williams","East Carolina","Amer","26","71.7","107.6","17.4","49.7","52.81","0.9","5.3","10.1","9.5","43","49","0.878","40","97","0.412","70","195","0.359","0.3","1.1","16.8","So","6-1","55","2.41375","106.725","2.5","2019","46507","all","New Mexico St.","0","0","0","0","0","0","0","0","0","0","0","0","109.886","2.20693","0","-0.975256","2.02914","-3.0044","-0.804"
"97","Tervell Beck","UNLV","MWC","18","17.4","87.4","21","52.9","55.09","6.9","12","5.4","31.6","18","30","0.6","23","39","0.59","3","13","0.231","2.9","1.9","57.7","So","6-7","14","0.0928564","88.6457","5.5","2019","51524","all","Kent St.","0","0","0","0","0","0","0","0","0","0","0","0","104.511","1.00546","0","-3.59013","-3.97926","0.389128","-4.314"
"98","Jaylen Shead","Texas St.","SB","32","71.6","103.1","18.3","47.4","51.96","2","16","30.5","24","63","92","0.685","68","140","0.486","16","54","0.296","1.1","2.4","47.4","Jr","6-1","35","1.24363","98.9586","3.8","2019","40083","all","Washington St.","0","0","0","0","0","0","0","0","0","0","0","0","96.6704","3.15472","0","1.49303","-0.672085","2.16512","2.061"
"99","Akwasi Yeboah","Stony Brook","AE","31","76.2","103","26.7","48.9","52.89","5.4","20.1","10.9","17.2","95","122","0.779","112","225","0.498","65","203","0.32","1.7","1.5","28.5","Jr","6-6","15","2.39043","108.335","3.2","2019","43276","all","Rutgers","0","0","0","0","0","0","0","0","0","0","0","0","97.6383","3.36189","0","0.184945","0.220646","-0.0357008","1.894"
"100","JoJo Anderson","Northern Arizona","BSky","26","54.3","100.6","24.8","44","55.48","0.8","7.4","19.1","20.8","123","146","0.842","33","89","0.371","37","112","0.33","0.2","1.2","72.6","So","6-3","4","1.64492","106.396","2.6","2018","46789","all","Albany","0","0","0","0","0","0","0","0","0","0","0","0","115.344","1.22562","0","-3.28778","0.363898","-3.65168","-1.948"
"101","Micah Bradford","Valparaiso","MVC","29","39.3","85.4","21.8","39.9","41.24","1","9.7","27.1","20.1","20","41","0.488","24","62","0.387","22","81","0.272","0.5","2.2","28.7","So","6-2","1","0.0767742","88.8154","4.7","2018","46403","all","Southern","0","0","0","0","0","0","0","0","0","0","0","0","101.957","1.55307","0","-3.91759","-2.43495","-1.48265","-3.081"
"102","Isaiah Washington","Minnesota","B10","28","31.1","84.9","22.5","34.5","37.62","2","9.1","34.3","20.2","19","27","0.704","36","101","0.356","10","47","0.213","0.9","2","18.2","So","6-1","11","0.345023","92.6229","3","2019","50174","all","Iona","0","0","0","0","0","0","0","0","0","0","0","0","98.2924","1.68105","0","-2.04186","-1.74227","-0.299593","-1.532"
"103","Brandon Cyrus","DePaul","BE","31","68.1","102.1","15.1","45.6","49.36","6.8","7.2","10.5","17","45","65","0.692","62","143","0.434","18","52","0.346","1.6","1.1","33.3","So","6-5","4","1.02356","98.2827","2.8","2018","49194","all","UC Santa Barbara","0","0","0","0","0","0","0","0","0","0","0","0","101.603","2.63324","0","1.895","0.0473101","1.84769","0.165"
"104","Reginald Gee","Alabama St.","SWAC","28","72.7","95.9","23","45.1","50.19","3.1","13.3","9.4","18.4","84","113","0.743","65","175","0.371","45","119","0.378","0.8","1.1","38.4","Jr","6-3","12","1.05894","96.5667","2.3","2019","49044","all","Austin Peay","0","0","0","0","0","0","0","0","0","0","0","0","113.909","1.51852","0","-4.86249","-1.82544","-3.03705","-3.498"
"105","Jimmy Whitt Jr.","SMU","Amer","30","82.3","112.2","20.8","49.4","50.39","6.7","14.2","22.7","12.2","42","74","0.568","158","304","0.52","4","28","0.143","1.4","2.5","22.3","Jr","6-3","33","3.70734","116.875","2.7","2019","42446","all","Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","103.137","3.08135","0","4.07074","2.99841","1.07234","3.968"
"106","Rasir Bolton","Penn St.","B10","32","66.6","96.2","24.1","47.1","53.64","2.5","6.2","11.4","23.4","92","105","0.876","61","151","0.404","52","144","0.361","0.3","1.4","35.6","Fr","6-2","13","2.00941","108.185","2.8","2019","65867","all","Iowa St.","0","0","0","0","0","0","0","0","0","0","0","0","99.6627","2.65839","0","0.293288","0.787635","-0.494348","0.32"
"107","Frank Ryder","San Diego","WCC","24","27.4","101.1","18.6","46.8","52.29","6.5","7.7","10.9","15.9","26","35","0.743","37","79","0.468","0","0","0","1.4","0.7","44.3","Fr","6-10","30","0.654098","100.615","6.8","2017","45062","all","Colorado","0","0","0","0","0","0","0","0","0","0","0","0","109.245","0.942103","0","-4.93289","-3.07713","-1.85576","-4.109"
"108","K.J. Lawson","Kansas","B12","35","23.8","105","17.2","52.9","55.95","6.7","15.1","9.1","20.9","18","24","0.75","26","42","0.619","13","44","0.295","0.3","1.3","27.9","So","6-8","13","0.737574","108.105","5.2","2019","42509","all","Tulane","0","0","0","0","0","0","0","0","0","0","0","0","92.7329","1.21526","0","2.51507","1.66767","0.847399","2.216"
"109","Lavar Harewood","South Carolina St.","MEAC","24","44.2","109.2","17.7","54.1","56.55","4.9","12.2","7.3","16.1","26","33","0.788","29","63","0.46","42","107","0.393","0.4","2","19.4","Jr","6-3","0","1.17751","100.897","3","2019","67502","all","Portland","0","0","0","0","0","0","0","0","0","0","0","0","119.795","0.703619","0","-1.78401","1.3846","-3.16861","-1.672"
"110","Quinton Forrest","Jacksonville","ASun","13","3.2","73.4","14.9","38.9","42.22","2.8","14.7","4.3","28.3","1","1","1","2","5","0.4","1","4","0.25","0","1.4","11.1","Jr","6-4","15","-0.207943","66.2688","5.1","2019","42323","all","Idaho","0","0","0","0","0","0","0","0","0","0","0","0","110.088","0.189183","0","-9.66192","-6.7144","-2.94752","-11.147"
"111","Camron Justice","IUPUI","Horz","31","83.4","110.3","25.9","51","56.51","1.1","10.2","17.5","16.9","128","149","0.859","96","193","0.497","85","245","0.347","0.1","2.2","34","Jr","6-3","5","3.43003","116.071","2.7","2019","42129","all","Western Kentucky","0","0","0","0","0","0","0","0","0","0","0","0","106.378","2.55307","0","0.466242","2.79729","-2.33105","2.117"
"112","Jermaine Jackson Jr.","Detroit","Horz","28","69.4","93.7","19.3","42.1","46.5","1.5","9.8","13.6","15.9","52","62","0.839","46","113","0.407","47","164","0.287","0.4","1.5","22.4","Fr","5-10","1","0.548517","92.774","2.2","2018","50600","all","LIU Brooklyn","0","0","0","0","0","0","0","0","0","0","0","0","118.685","1.11095","0","-5.02217","-1.18268","-3.8395","-4.382"
"113","Dainan Swoope","Elon","CAA","4","7.7","98.6","17.4","52.4","56.45","1.2","3.8","12.4","21.8","6","8","0.75","5","10","0.5","4","11","0.364","0","0.6","38.1","Sr","6-0","13","0.786589","96.186","3.9","2019","41156","all","Sam Houston St.","0","0","0","0","0","0","0","0","0","0","0","0","119.632","0.710258","0","-7.22852","-2.91103","-4.31749","-5.218"
"114","Guilien Smith","Dartmouth","Ivy","16","20.9","88","18.9","38.9","44.83","1.5","14.1","11.7","17.3","16","20","0.8","14","32","0.438","7","31","0.226","0.9","1.5","31.7","Sr","6-2","14","0.102069","88.4615","3.2","2019","43240","all","Northeastern","0","0","0","0","0","0","0","0","0","0","0","0","106.962","1.08219","0","-5.14074","-3.33601","-1.80474","-3.773"
"115","Ronnie Suggs","Missouri","SEC","27","18.8","80.3","15","37.5","42.24","4.4","12.6","5.4","25.1","13","22","0.591","6","21","0.286","7","23","0.304","0","1","50","Jr","6-6","3","-0.234714","78.8509","4.4","2019","40490","all","Southern Illinois","0","0","0","0","0","0","0","0","0","0","0","0","97.0085","0.972481","0","-2.34842","-3.04462","0.696205","-2.513"
"116","Izaiah Brockington","St. Bonaventure","A10","34","28.7","109.8","18.5","53.4","53.84","2.4","9.7","14.9","11","21","39","0.538","30","65","0.462","22","53","0.415","1.6","2","33.1","Fr","6-4","21","0.838568","108.51","2.7","2018","50379","all","Penn St.","0","0","0","0","0","0","0","0","0","0","0","0","100.705","1.14512","0","0.620143","1.00074","-0.380597","3.331"
"117","Owen Hamilton","Northern Illinois","MAC","26","14.1","107.2","13","60.7","60.2","6.8","11.1","3.2","21.1","6","11","0.545","17","27","0.63","0","1","0","1.4","2.1","39.3","Fr","7-0","33","0.180434","95.4469","7.3","2018","50384","all","Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","110.516","0.427655","0","-2.80817","-1.82063","-0.98754","-5.198"
"118","Jamal Smith","Cal St. Fullerton","BW","31","44.9","83.9","12.6","50","53.17","2","11.6","11.2","33.3","23","36","0.639","23","52","0.442","10","24","0.417","0.9","1.8","47.4","Jr","6-3","1","-0.786086","74.2105","6.1","2019","40476","all","Cal Poly","0","0","0","0","0","0","0","0","0","0","0","0","102.502","1.66751","0","-2.76138","-3.84126","1.07988","-4.365"
"119","Micaiah Henry","Tennessee Tech","OVC","29","63.7","93","20.6","56.2","55.57","9.5","10.2","5.7","24.1","62","122","0.508","104","184","0.565","0","1","0","7.2","0.7","65.9","Jr","6-9","11","0.436913","91.3797","4.8","2019","41174","all","South Carolina","0","0","0","0","0","0","0","0","0","0","0","0","106.664","1.92424","0","-2.59073","-4.15538","1.56464","-3.797"
"120","Prince Oduro","Siena","MAAC","31","60","83.3","23.9","48.4","45.88","7.1","16.3","7","20.6","41","123","0.333","121","250","0.484","0","0","0","3","0.5","49.2","Fr","6-8","15","-0.170193","85.4741","5","2018","50993","all","Mississippi St.","0","0","0","0","0","0","0","0","0","0","0","0","109.898","1.6795","0","-7.60089","-6.28667","-1.31422","-7.059"
"121","Anthony Masinton-Bonner","Colorado St.","MWC","24","49.6","111.2","19.1","59.2","63.02","1.2","9.5","9.3","17.2","45","52","0.865","54","87","0.621","35","93","0.376","0.4","1.9","28.9","Jr","6-2","15","2.06823","109.583","2.8","2019","38716","all","Missouri St.","0","0","0","0","0","0","0","0","0","0","0","0","111.135","1.5459","0","-0.739444","1.44557","-2.18501","0.896"
"122","Justin Whatley","East Carolina","Amer","4","2.7","116.5","16.9","50","45.66","9.7","6.9","24.6","0","0","2","0","2","4","0.5","2","6","0.333","6.7","3.4","20","So","6-8","13","0.562924","106.118","9.4","2019","51118","all","North Carolina Central","0","0","0","0","0","0","0","0","0","0","0","0","105.308","0.661508","0","7.38841","5.16534","2.22307","2.519"
"123","Jesse Wade","Gonzaga","WCC","20","6.9","94.9","14.6","43.1","42.73","2.3","5.3","5.9","11.4","1","3","0.333","2","4","0.5","7","25","0.28","0","3.3","10.3","Fr","6-1","10","-0.0127057","86.745","1.6","2018","51051","all","BYU","0","0","0","0","0","0","0","0","0","0","0","0","96.8754","0.582231","0","1.4172","0.514507","0.902697","-2.62"
"124","Brady Heiman","Nebraska","B10","29","16.3","107","12.9","59","53.65","10.5","12.6","2.5","14.1","4","16","0.25","23","38","0.605","0","1","0","6.4","0.8","41","Fr","6-11","45","0.443121","102.678","5.4","2019","66104","all","South Dakota","0","0","0","0","0","0","0","0","0","0","0","0","96.831","0.862297","0","1.10854","-0.77945","1.888","-0.694"
"125","Jamal Johnson","Memphis","Amer","34","65.3","104.6","14.1","46.8","50.36","3.4","11.2","7.4","15.1","46","66","0.697","23","59","0.39","47","141","0.333","2.1","1.5","33","Fr","6-3","1","0.882132","97.1902","2.9","2018","50709","all","Auburn","0","0","0","0","0","0","0","0","0","0","0","0","107.56","1.98428","0","0.532171","0.739833","-0.207662","-0.554"
"126","Jy'lan Washington","Louisiana Tech","CUSA","31","47","106","17.2","47.7","52.22","8.1","13.3","5.4","13.3","40","53","0.755","42","75","0.56","20","76","0.263","1.6","1.2","35.1","Jr","6-9","22","1.00679","102.893","3.4","2018","44024","all","Tennessee St.","0","0","0","0","0","0","0","0","0","0","0","0","105.821","1.54144","0","-0.509261","0.402464","-0.911725","-1.017"
"127","Chyree Walker","Delaware","CAA","28","36.1","85.4","17.5","43.5","43.54","6.9","10.5","5.8","18.9","13","31","0.419","39","87","0.448","5","20","0.25","0","1.5","29","Fr","6-5","11","-0.39606","80.3065","4.1","2018","51529","all","Radford","0","0","0","0","0","0","0","0","0","0","0","0","111.388","1.00093","0","-6.33341","-4.21038","-2.12303","-7.042"
"128","Carter Skaggs","Washington St.","P12","25","32.2","104.3","17.1","54.5","57.24","1.4","10.4","8.1","16.6","17","19","0.895","8","13","0.615","39","109","0.358","0.5","0.9","15.6","Jr","6-5","35","0.777933","100.04","1.7","2019","52273","all","UNC Wilmington","0","0","0","0","0","0","0","0","0","0","0","0","112.622","0.904353","0","-2.45232","0.729974","-3.18229","-0.904"
"129","Spencer Foley","Canisius","MAAC","28","27.7","127.2","17.1","64.9","65.29","8","6.5","11.3","12.8","9","13","0.692","21","33","0.636","34","78","0.436","0.3","1.2","11.7","So","6-7","14","1.45411","119.57","2.3","2018","46972","all","McNeese St.","0","0","0","0","0","0","0","0","0","0","0","0","110.04","0.879156","0","1.45586","3.89967","-2.44381","3.166"
"130","Chris Baldwin","Massachusetts","A10","21","25.9","95.4","18.1","50","50.89","8.1","22.2","7.1","20.8","7","11","0.636","23","46","0.5","16","48","0.333","3","1.2","11.7","So","6-8","5","0.383642","94.2274","6.2","2018","47428","all","Texas Southern","0","0","0","0","0","0","0","0","0","0","0","0","105.692","1.34638","0","-2.51645","-1.90979","-0.606661","-2.707"
"131","Christian Keeling","Charleston Southern","BSth","30","82.1","111.8","26.6","56.2","59.9","3","21.1","17.4","16.7","111","142","0.782","118","222","0.532","75","188","0.399","2.5","2.2","34.6","Jr","6-4","11","3.59064","117.927","2.6","2019","48904","all","North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","98.4419","3.42002","0","4.9049","3.20775","1.69714","5.797"
"132","Zo Tyson","Colorado St.","MWC","12","4.5","73.1","12","40","36.23","2.2","20.5","16.9","34.4","1","4","0.25","2","5","0.4","0","0","0","10.3","1","80","Jr","6-9","1","-0.363012","64.0188","5.7","2019","67627","all","IUPUI","0","0","0","0","0","0","0","0","0","0","0","0","103.928","0.396869","0","-2.43839","-7.12268","4.68429","-4.24"
"133","Malik Osborne","Rice","CUSA","29","67.9","95.2","20.2","46.5","50.02","9.2","17.4","6.6","18.9","65","105","0.619","67","134","0.5","22","81","0.272","3.4","1.2","48.8","Fr","6-8","13","0.858889","96.5743","3.3","2018","51107","all","Florida St.","0","0","0","0","0","0","0","0","0","0","0","0","107.342","2.08304","0","-1.57006","-1.7316","0.161541","-2.221"
"134","Trevon Ary-Turner","Weber St.","BSky","15","10.5","81.2","16.4","52.2","53.2","0","10.2","11.7","32.5","3","5","0.6","3","6","0.5","6","17","0.353","0","0.5","21.7","Fr","6-3","21","-0.304633","76.39","6.1","2018","50673","all","Dartmouth","0","0","0","0","0","0","0","0","0","0","0","0","110.005","0.53546","0","-7.38819","-4.58825","-2.79994","-7.749"
"135","Barret Benson","Northwestern","B10","32","24","93","16.5","41.9","45.34","9.8","26.6","7.3","16.4","18","32","0.563","23","55","0.418","2","7","0.286","3.5","1.5","51.6","Jr","6-10","25","0.226036","93.2348","6.7","2019","47330","all","Southern Illinois","0","0","0","0","0","0","0","0","0","0","0","0","87.7896","1.3514","0","-0.803722","-4.18736","3.38364","-0.434"
"136","Rylan Bergersen","BYU","WCC","26","15.7","96.8","17.4","48","50.96","0.6","13.7","10.2","14.1","17","29","0.586","12","23","0.522","8","27","0.296","2.1","1.1","58","So","6-6","1","0.215024","94.4109","3.5","2019","50770","all","Central Arkansas","0","0","0","0","0","0","0","0","0","0","0","0","104.604","0.642583","0","-2.28653","-1.36792","-0.918611","-0.903"
"137","DeAndre Dishman","Eastern Kentucky","OVC","28","66.8","108.3","21.6","56","58.62","9.3","16.9","8.6","17.3","87","137","0.635","116","206","0.563","0","1","0","2.9","2.1","66.2","So","6-6","2","2.1034","109.369","3.5","2018","45840","all","Middle Tennessee","0","0","0","0","0","0","0","0","0","0","0","0","110.903","1.78089","0","-0.370258","0.140471","-0.51073","-0.32"
"138","Chase Johnson","Florida","SEC","2","0.8","107.5","23","75","55.3","19.8","20","0","0","0","3","0","3","4","0.75","0","0","0","10.2","0","75","So","6-9","1","0.560663","113.365","6.7","2019","51231","all","Dayton","0","0","0","0","0","0","0","0","0","0","0","0","98.4741","0.62381","0","-0.233346","1.03094","-1.26428","5.14"
"139","Bryce Nze","Milwaukee","Horz","31","73.4","104.8","20.3","61.1","59.32","11.6","22.5","9.4","21.6","31","70","0.443","134","214","0.626","8","25","0.32","5.7","1.8","29.3","So","6-7","24","1.67791","103.935","4.1","2018","49273","all","Butler","0","0","0","0","0","0","0","0","0","0","0","0","98.3139","3.171","0","3.16039","-0.577996","3.73839","1.059"
"140","Jake Toolson","Utah Valley","WAC","33","83.6","119.8","20.5","63.7","67.81","3.7","12.1","12.9","19.9","103","119","0.866","110","183","0.601","63","138","0.457","0.7","0.9","37.1","Jr","6-5","2","3.76764","118.891","2","2019","33955","all","BYU","0","0","0","0","0","0","0","0","0","0","0","0","105.752","2.6333","0","3.94198","3.9893","-0.0473144","3.656"
"141","Jevon Smith","Green Bay","Horz","14","8.7","94.6","20.6","45.7","52.82","4.2","12.4","13.3","24.3","13","16","0.813","10","22","0.455","4","13","0.308","0","1.3","45.7","Jr","6-5","24","0.281282","95.4518","7.2","2019","44828","all","Jackson St.","0","0","0","0","0","0","0","0","0","0","0","0","106.239","0.692522","0","-5.58184","-2.91494","-2.6669","-4.439"
"142","Sedee Keita","St. John's","BE","22","21.5","87.5","11.6","40","43.12","4.5","12.8","5.4","17.7","11","20","0.55","18","44","0.409","0","1","0","8.2","1.9","44.4","So","6-9","0","-0.31433","79.6039","6.6","2019","46310","all","FIU","0","0","0","0","0","0","0","0","0","0","0","0","94.5528","1.55886","0","0.3499","-4.32031","4.67021","-1.436"
"143","Tyler Hamilton","Penn","Ivy","6","5.7","116.5","8.8","83.3","74.07","5","8.1","10.1","28.5","1","3","0.333","5","5","1","0","1","0","0","1.7","50","Sr","6-4","11","0.475004","98.1695","7.4","2019","38767","all","William & Mary","0","0","0","0","0","0","0","0","0","0","0","0","100.473","1.13203","0","0.27091","-0.817638","1.08855","-3.915"
"144","Ryan Gomes","Mount St. Mary's","NEC","30","25.8","97","20.4","55.7","54.79","6.7","13.1","5.5","17.8","13","28","0.464","49","88","0.557","0","0","0","5","1.5","31.8","So","6-10","54","0.222135","93.6486","6.1","2018","45478","all","Houston Baptist","0","0","0","0","0","0","0","0","0","0","0","0","110.738","0.671424","0","-6.26247","-5.25299","-1.00947","-4.591"
"145","Marten Linssen","Valparaiso","MVC","20","10.8","87.6","21.8","48.1","51.48","10.2","19.4","6.1","26.3","15","27","0.556","13","27","0.481","0","0","0","4.3","4","100","Fr","6-8","12","0.0812046","91.0563","10.2","2018","50899","all","UNC Wilmington","0","0","0","0","0","0","0","0","0","0","0","0","92.8305","0.826088","0","-1.26783","-4.54313","3.2753","-0.919"
"146","Nic Thomas","Norfolk St.","MEAC","31","70","103.1","24","48.8","54.94","2.4","9.5","11.7","16.8","118","147","0.803","46","138","0.333","79","199","0.397","0.1","1.4","43.6","Jr","6-2","14","1.89242","104.751","3.4","2019","43103","all","Tulane","0","0","0","0","0","0","0","0","0","0","0","0","108.369","2.07351","0","-2.16072","0.635991","-2.79671","-0.196"
"147","Ryan McAdoo","Florida Gulf Coast","ASun","12","1.6","43","22.6","20","28.99","0","16.1","0","36.1","2","4","0.5","1","4","0.25","0","1","0","0","2.7","80","Fr","6-5","20","-0.271606","40.4924","0","2018","50633","all","North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","103.09","0.152484","0","-19.2123","-15.7199","-3.49249","-13.974"
