"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"385","Kelvin Jones","Idaho St.","BSky","27","48.8","100.4","27.1","54.6","56.43","10.1","23.1","7.7","20.1","43","66","0.652","113","207","0.546","0","0","0","8","1","31.9","Jr","6-11","54","1.35405","105.697","8","2019","46995","all","Creighton","0","0","0","0","0","0","0","0","0","0","0","0","113.216","1.06997","0","-3.23212","-3.21785","-0.0142692","-3.282"
"386","Daryl Edwards","LSU","SEC","9","10.7","95.8","15.9","48.5","52.32","2.9","7.3","11.8","27.8","8","11","0.727","7","13","0.538","6","20","0.3","0.7","1.1","33.3","Sr","6-3","5","0.493549","94.8639","2.6","2019","51303","all","UTEP","0","0","0","0","0","0","0","0","0","0","0","0","103.467","1.46224","0","-0.0681062","0.448781","-0.516887","-0.918"
"387","Ahsante Shivers","Siena","MAAC","32","60.1","90.9","21.7","42.7","47.87","5.5","13.1","11.5","22","65","90","0.722","65","158","0.411","23","75","0.307","0.8","1.3","38.6","So","6-4","21","0.306654","91.1336","3.3","2018","46573","all","Southern","0","0","0","0","0","0","0","0","0","0","0","0","110.496","1.581","0","-4.69763","-3.23324","-1.46439","-3.989"
"388","Jalen Williams","Furman","SC","16","5","123","11.3","50","53.53","12","20.1","5.2","8.6","5","9","0.556","3","6","0.5","0","0","0","9.2","1","150","Jr","6-8","2","0.239676","104.553","5.9","2019","40009","all","Cleveland St.","0","0","0","0","0","0","0","0","0","0","0","0","93.1114","0.467325","0","2.42705","-1.73405","4.1611","0.267"
"389","Keith Smith","VMI","SC","27","64.7","82.9","18.6","45.3","47.21","0.9","9.7","24.2","28.9","23","37","0.622","36","100","0.36","28","72","0.389","0.8","2.8","21.5","So","6-0","1","-0.813955","78.7203","2.5","2018","45916","all","Cal Poly","0","0","0","0","0","0","0","0","0","0","0","0","108.564","1.94658","0","-5.14363","-4.72139","-0.422237","-5.015"
"390","Cavit Havsa","Fordham","A10","30","59.7","98.1","13","49.5","52.69","2.4","6.9","25.3","26.6","19","25","0.76","37","61","0.607","9","41","0.22","0.6","2.2","24.5","So","6-4","15","0.11978","88.8557","2.2","2018","46888","all","Utah Valley","0","0","0","0","0","0","0","0","0","0","0","0","107.778","1.85509","0","-4.97349","-3.62457","-1.34892","-4.523"
"391","Jason Carter","Ohio","MAC","30","77.4","109.3","25.2","51.1","55.42","6.6","16.4","13.7","12.1","120","168","0.714","152","299","0.508","23","66","0.348","2.4","1.2","46","So","6-8","1","3.39845","118.084","3.2","2019","47914","all","Xavier","0","0","0","0","0","0","0","0","0","0","0","0","101.038","2.94217","0","2.48705","2.18087","0.306188","2.904"
"392","Michael Weathers","Oklahoma St.","B12","16","25.4","84.5","31.8","45.8","49.65","3.9","11.8","23.5","26.9","37","59","0.627","49","102","0.48","4","18","0.222","2.6","3.1","49.2","So","6-2","23","0.961413","99.9928","4.4","2019","52147","all","Texas Southern","0","0","0","0","0","0","0","0","0","0","0","0","97.8781","2.16712","0","-2.02465","-2.99296","0.96831","-0.351"
"393","Isaac Kante","Georgia","SEC","10","1.8","89.1","24.9","50","55.87","9.6","8.9","0","30.5","2","2","1","4","8","0.5","0","0","0","4.5","0","25","Fr","6-7","30","0.0666308","95.5568","3.3","2018","51238","all","Hofstra","0","0","0","0","0","0","0","0","0","0","0","0","101.092","0.233296","0","-8.72581","-6.89806","-1.82775","-4.769"
"394","Amel Kuljuhovic","Cal St. Fullerton","BW","16","10.3","82.4","16.3","41.4","42.64","7.1","18.1","2.9","18.4","6","13","0.462","9","25","0.36","2","4","0.5","2.3","1.7","44.8","Jr","6-10","22","-0.207675","79.1784","4.8","2019","67970","all","Southern","0","0","0","0","0","0","0","0","0","0","0","0","97.2296","0.89295","0","-6.13864","-5.76317","-0.375474","-2.678"
