,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
4559,Duke Brennan,Arizona St.,P12,36,22.5,110.6,15.4,51.9,14.5,12.6,2.8,17.2,6.3,1.2,85.2,Fr,10-Jun,1.78669
4560,CJ Scott,Coppin St.,MEAC,9,2.7,59.4,19.9,20,10.1,6.2,0,39.3,0,3.1,120,Fr,4-Jun,-4.84363
4561,Elijah Ormiston,South Alabama,SB,16,8.6,115.3,19.3,54.4,9.7,14,8.5,10.9,0.9,2.1,8.8,So,8-Jun,0.946706
4562,Chase Lowe,William & Mary,CAA,25,22.8,87.1,19.9,40.3,10.8,14.1,9.3,21.7,0.8,2,56.5,Fr,5-Jun,-1.83263
4563,Johnny McFatten,Georgia Southern,SB,29,37.8,99.9,11.7,62.5,6.5,8.8,5.7,30.2,3.8,1,35.7,Jr,8-Jun,1.43141
4564,Isaiah Jones,Detroit,Horz,23,19,119.3,12.3,52.8,11.7,13.8,3.6,13.8,0,1.2,0,Fr,8-Jun,-3.0048
4565,Julian Lual,Arkansas St.,SB,29,43.7,96.6,16.6,42.2,7.4,11,8.6,14.2,3,1.7,21.7,So,6-Jun,-0.751073
4566,Cole Haller,Cal Poly,BW,12,4.8,100.8,7.9,58.3,8.2,12.9,0,26.4,2.1,0,0,Fr,7-Jun,-0.431203
4567,Max Davis,Drexel,CAA,2,0.2,0,21.5,0,0,0,0,0,0,0,0,Fr,4-Jun,-9.625
4568,Austin Williams,Elon,CAA,3,0.2,0,0,0,0,0,0,0,0,0,0,Fr,1-Jun,-5.09379
4569,Frankie Idlett,College of Charleston,CAA,7,0.6,112.9,22.7,37.5,13.1,14,22.7,0,0,0,0,Fr,Jun-00,-2.2924
4570,Donovan Atwell,UNC Greensboro,SC,28,16.3,106.8,21.4,50,7.2,4.6,7.5,11.4,0,2.1,7.9,Fr,5-Jun,-0.605138
4571,Henry White,Hartford,ind,7,0.9,66.8,26.4,25,0,0,0,0,0,0,50,Fr,Jun-00,-7.87103
4572,Jordan Chatman,Florida A&M,SWAC,27,42.9,89,20.5,42.7,8.6,16.4,7.8,22.9,1,1.6,59.6,So,5-Jun,-1.79657
4573,Maximus Fuentes,Drexel,CAA,2,0.2,58.6,29.6,0,60.4,0,0,0,0,0,0,Fr,3-Jun,-12.744
4574,Jaxon Ellingsworth,East Carolina,Amer,5,1.2,123.1,6,50,6.7,14.3,0,0,0,0,0,Fr,9-Jun,-0.515118
4575,DJ Basey,Coastal Carolina,SB,26,22.9,110.3,10.7,58.1,9.1,13.9,2.1,21.2,4.4,0.7,61.3,Sr,10-Jun,-1.22599
4576,Kenny Dye,Queens,ASun,30,88.8,107.5,26.9,50.6,3.1,10.3,28.3,18.1,0.2,1.7,47.7,Sr,Jun-00,-1.58704
4577,JV Seat,Abilene Christian,WAC,11,2.2,66.6,27.9,25,19.7,0,0,8.9,0,0,0,Fr,3-Jun,-8.59193
4578,Jamari Smith,Murray St.,MVC,30,64.4,96.5,24.4,48.5,4.8,13.6,6.4,14,1.6,1.1,27.5,Jr,8-Jun,-2.09306
4579,Nick Smith Jr.,Arkansas,SEC,17,30.4,95.6,26.3,43.6,1.1,6.3,13.4,13.3,0.5,1.8,24.8,Fr,5-Jun,-0.969926
4580,Jaden Bradley,Alabama,SEC,37,48.4,97.7,21.2,41.1,2.2,10.2,27,23.7,0.4,1.4,63.4,Fr,3-Jun,2.40828
4581,Rylan Griffen,Alabama,SEC,37,38.5,104.6,18.6,47,5.1,10.7,8.4,14.2,1.1,2.1,22.8,Fr,5-Jun,3.07831
4582,Noah Clowney,Alabama,SEC,36,60.6,113.5,17.8,55.3,8.7,21.4,6,15.5,3.4,1.3,43.9,Fr,10-Jun,3.94257
4583,Quin Patterson,UC San Diego,BW,20,12.7,96.3,12.5,41.9,0.8,2.4,2.6,0,0.7,1.2,5.4,Fr,7-Jun,-2.2094
4584,Jesaiah McWright,Tulsa,Amer,26,34.5,66.2,14.7,33.1,1.1,5.4,9.4,25.5,0.5,1.5,18.6,Fr,5-Jun,-1.39463
4585,Yann Farell,St. Bonaventure,A10,32,76.8,111,14.9,58,5.7,17.8,7.3,17.1,1.8,1.2,16.4,Fr,6-Jun,0.295434
4586,Camden McCormick,UC San Diego,BW,17,7.8,73.3,8.2,25,1.3,14.4,17.1,40.7,0,2.7,100,Fr,3-Jun,0.640348
4587,Roddie Anderson III,UC San Diego,BW,28,77.5,87.5,30.1,43,1.9,12.4,25.7,20.9,0.7,2.3,26.4,Fr,2-Jun,-1.52136
4588,Jac Mani,UC Davis,BW,2,1,116,14.2,33.3,0,9.8,0,0,0,0,66.7,Fr,9-Jun,-0.848006
4589,Trey Pettigrew,Nevada,MWC,26,21.7,83.8,17.8,40.9,2.7,14.4,5.1,15.6,3.1,0.9,20.8,Fr,3-Jun,0.176065
4590,Jaden Ellis,Army,Pat,14,6.2,77.2,19.3,62.5,0,7.7,24.8,50.8,0,2.3,8.3,Fr,Jun-00,-2.98728
4591,Zek Tekin,Siena,MAAC,29,25.7,92.5,14.5,45.5,1.5,7.7,20,32.4,0.6,2.3,65.9,Fr,2-Jun,0.75882
4592,Jaquel Morris,Miami OH,MAC,29,27.5,86.8,13.6,61.1,10.1,16.1,12.3,40.2,7.9,1.6,27.8,Fr,8-Jun,2.08052
4593,Ryan Mabrey,Miami OH,MAC,29,71.3,92.2,16.8,46.8,1.4,7.4,7.4,17.4,0.3,1.2,10.1,Fr,5-Jun,-2.74726
4594,Tyler Bilodeau,Oregon St.,P12,31,49.2,99.9,20.8,48.6,6.7,17.8,6.8,16.6,2.2,1.1,28.5,Fr,9-Jun,0.137439
4595,Zach Howell,Milwaukee,Horz,26,16,88,18.3,38.4,3.4,5.6,4.4,15,0.5,3,18.8,Fr,5-Jun,-0.945983
4596,Elijah Jamison,Milwaukee,Horz,31,50.4,98.4,18.5,51.2,2.9,10.2,13.5,24.1,0.2,1.3,37.8,Fr,3-Jun,-1.71979
4597,Billy Smith,Miami OH,MAC,23,43.9,106.2,12.9,55.5,2.9,8.6,5.1,16.6,0.9,1.4,13.6,Fr,7-Jun,-2.03898
4598,Chandler Pigge,Harvard,Ivy,17,16.3,89.3,14.3,43.8,6.2,7.6,9.7,21.8,1.3,2.4,31.3,Fr,5-Jun,0.405114
4599,Chisom Okpara,Harvard,Ivy,26,49.1,94.3,22.1,52.4,7.5,16.1,10.9,23.9,1.8,1.1,41.4,Fr,8-Jun,0.0165551
4600,Sadraque NgaNga,Boise St.,MWC,16,6.9,84.6,17.8,45.2,6.6,18.9,8,29.5,0,1.3,9.5,Fr,10-Jun,1.33393
4601,Jace Whiting,Boise St.,MWC,32,37,95.3,14,48.4,2,11,15.7,23.5,0.5,1.2,8.5,Fr,2-Jun,1.80171
4602,Michael Bova,Bellarmine,ASun,7,1.5,125.3,20.3,75,7.6,7.3,0,0,8.9,3.6,50,Fr,2-Jun,0.80746
