,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, bpm, obpm, dbpm
234,Holland Woods,Portland St.,BSky,30,86.4,106.2,27.8,48,55.01,1.5,7,27.8,21.7,151,180,0.839,126,261,0.483,47,148,0.318,0.1,3.2,44,Jr,1-Jun,11,3.54263,2020,50560,Arizona St.,1.341432957,70,121,56,140,0.578512397,0.4,0,0,0,2.09824,1.2827,2.94888,-1.66618
235,Kurk Lee,Drexel,CAA,6,11.4,118.3,18,58.9,59.7,0.8,11,17.2,13.7,3,4,0.75,4,15,0.267,15,30,0.5,0,0.8,8.9,Jr,9-May,1,2.14996,2019,45850,Alcorn St.,2.1667,1,8,3,7,0.125,0.428571429,0,0,0,1.04913,1.03279,2.87339,-1.84059
236,Luke Frampton,Davidson,A10,6,10.9,120.1,15.8,62.2,63.76,0,13.7,10.6,11.6,3,3,1,2,8,0.25,14,29,0.483,0.9,1.8,8.1,So,5-Jun,14,2.08466,2020,65542,Western Kentucky,1.749962502,0,3,2,5,0,0.4,0,0,0,1.92103,4.80976,4.6117,0.198058
237,Josh Ayeni,South Alabama,SB,6,4.6,114.6,15.8,57.1,71.07,12.3,6.8,3.5,29,6,6,1,1,2,0.5,2,5,0.4,5.2,1.2,85.7,Jr,8-Jun,32,0.709493,2020,47026,Chattanooga,0.25,1,1,0,1,1,0,0,0,0,0.687803,-4.42376,-3.2486,-1.17517
238,Eric Williams Jr.,Duquesne,A10,32,76.1,110.4,22.6,50.3,54.18,10.2,16.9,9.7,14,89,119,0.748,95,205,0.463,56,151,0.371,0.7,2.1,33.4,So,6-Jun,50,2.8989,2019,50314,Oregon,0.818128927,75,123,20,82,0.609756098,0.243902439,34,37,0.918918919,2.95021,2.72767,3.76958,-1.04191
239,Kene Chukwuka,Pittsburgh,ACC,32,42.9,116.3,11.3,56.3,59.53,9,12.6,4.2,17.1,25,34,0.735,42,65,0.646,5,23,0.217,3.7,0.9,38.6,Jr,9-Jun,15,1.10197,2019,51241,Pepperdine,0.631525766,42,63,0,2,0.666666667,0,0,1,0,1.87625,-0.21665,-1.61832,1.40167
240,Zane Martin,New Mexico,MWC,32,60.4,97.2,24.7,45,49.08,3,9.8,25.3,18.6,69,99,0.697,97,200,0.485,19,79,0.241,1,2.8,35.5,Sr,4-Jun,0,1.41547,2020,48815,Towson,1.43662561,63,102,34,98,0.617647059,0.346938776,9,9,1,2.15765,-1.03976,-1.13024,0.0904835
241,Daivien Williamson,East Tennessee St.,SC,31,70.1,109.3,19.6,57,61.12,0.8,7.2,17.6,22.9,65,79,0.823,80,141,0.567,34,89,0.382,0.3,1.5,34.3,So,2-Jun,5,2.03723,2020,65635,Wake Forest,1.236116358,61,88,19,53,0.693181818,0.358490566,0,0,0,2.61043,0.532157,0.919978,-0.387821
242,Eliel Nsoseme,Cincinnati,Amer,33,25.5,91.4,10.4,39.5,40.41,10.8,25.2,1.9,18.3,13,32,0.406,15,38,0.395,0,0,0,6.6,1.5,84.2,So,9-Jun,22,-0.238416,2019,51040,Georgia St.,0.363636364,10,24,5,14,0.416666667,0.357142857,0,0,0,1.56108,-0.181325,-2.65852,2.47719
243,Aaron Cook,Southern Illinois,MVC,5,13.2,105.3,26.3,59.8,60.2,0.8,7.5,27.2,17.4,13,22,0.591,29,48,0.604,3,8,0.375,0.7,6.8,39.3,Sr,2-Jun,10,3.15922,2020,49449,Gonzaga,1.428577551,24,30,5,18,0.8,0.277777778,3,3,1,4.45299,9.39591,3.12424,6.27167
244,Chance Moore,Wichita St.,Amer,4,1.3,64.2,18.5,25,30.3,15.9,0,0,31.3,1,2,0.5,1,3,0.333,0,1,0,0,0,50,Fr,6-Jun,22,-0.43283,2019,66154,Washington St.,0,0,2,1,1,0,1,0,0,0,0.372927,-11.3103,-6.88826,-4.42204
245,Colin Castleton,Michigan,B10,25,15.8,113.4,20.8,54,61.15,10.7,23.3,7.4,18.3,24,29,0.828,27,46,0.587,0,4,0,6.1,0.9,58,So,11-Jun,11,0.890042,2020,65492,Florida,0.615384615,19,26,8,20,0.730769231,0.4,3,3,1,1.0939,4.27968,0.931625,3.34805
246,Devonaire Doutrive,Arizona,P12,3,4,120.2,18.3,46.4,53.37,6.7,15.5,14.5,6.1,6,8,0.75,5,11,0.455,1,3,0.333,2.3,1.1,57.1,So,5-Jun,14,1.77913,2020,66617,Boise St.,4.00030003,4,7,1,4,0.571428571,0.25,0,0,0,2.05032,7.24657,3.7642,3.48237
247,James Jean-Marie,San Diego,WCC,31,64.8,91.1,17.7,48.7,51.35,7.1,16.9,6.8,22.5,41,63,0.651,74,161,0.46,14,34,0.412,3,0.6,32.3,Jr,7-Jun,23,0.382494,2020,70792,Hawaii,0.450026667,45,70,29,91,0.642857143,0.318681319,14,15,0.933333333,2.47976,-1.94863,-2.2586,0.309977
248,Ben Harvey,Eastern Illinois,OVC,31,53.3,98.3,24.8,52.2,55.3,4.4,16.1,10.4,21.1,53,71,0.746,82,164,0.5,33,88,0.375,0.5,1.4,28.2,Fr,5-Jun,23,1.0023,2019,66223,Southern Illinois,0.507923608,51,79,31,85,0.64556962,0.364705882,2,3,0.666666667,1.27811,-3.53048,-0.758778,-2.7717
249,Jax Levitch,UNC Asheville,BSth,19,18.9,80.5,8.9,24,26.86,6.3,20.1,5.7,8.6,5,14,0.357,3,6,0.5,2,19,0.105,3.9,1,56,Jr,7-Jun,21,-0.897979,2020,47690,Evansville,2.99930021,3,4,0,2,0.75,0,0,0,0,0.754459,-5.22684,-4.14791,-1.07893
250,Dravon Mangum,Charlotte,CUSA,29,48.3,85.9,17.7,43.6,48.11,5.5,11.3,4.9,21.5,38,60,0.633,27,58,0.466,16,59,0.271,3.4,1.1,51.3,Fr,9-Jun,20,-0.24345,2019,66175,Radford,0.342861878,24,36,3,22,0.666666667,0.136363636,5,5,1,1.43547,-4.70665,-3.65462,-1.05203
251,Warren Washington,Oregon St.,P12,27,16.7,106.6,10.9,53.6,53.41,8.9,12.5,5.1,18.3,6,12,0.5,15,27,0.556,0,1,0,4.3,0,42.9,Fr,11-Jun,22,0.202465,2019,65936,Nevada,0.856922484,14,23,1,4,0.608695652,0.25,6,6,1,0.643423,-6.16972,-6.02505,-0.144666
